"CRASH_ID","DAMAGED_PROPERTY"
14945581,"MAIL BOX"
14945659,"GUARD RAIL"
14945698,"GUARDRAIL"
14945745,"FENCE"
14945785,"STREET SIGN"
14945791,"MESQUITE TREE"
14945791,"60 FT PROPERTY FENCE"
14945894,"HOUSE"
14945919,"LIGHT POLE"
14945926,"METAL CULVERT"
14945939,"CENTERPOINT POWER LINE"
14945940,"ALLOY STEEL PROCESSOR"
14946063,"BARBWIRE FENCE"
14946063,"YELLOW LEFT CURVE SIGN"
14946106,"LIGHT POLE"
14946355,"POWER LINE POLE"
14946443,"GUARD RAIL"
14946450,"FENCE"
14946508,"GUARD RAIL"
14946526,"CONCRETE PILLAR"
14946558,"FIRE HYDRANT"
14946580,"WIRE FENCE AND CORNER POST"
14946593,"ELECTRIC POLE"
14946594,"STOP SIGN"
14946630,"2 LIGHT POLES AND ELECTRIC WIRE"
14946646,"UTILITY POLE"
14946758,"OREILLY BUILDING"
14946763,"BROKEN POWER LINE / POLE DAMAGE"
14946850,"CROSSWALK POLE / LIGHTS"
14946856,"CURTILIAGE"
14946916,"STOP SIGN & SOLAR PANEL"
14946924,"NONE"
14947023,"FENCE"
14947034,"HANGING MENU AT SONIC"
14947063,"AT&T BOX 252"
14947063,"ELECTRICAL POLE"
14947074,"LIGHT POLE"
14947134,"UTILITY POLE 344568"
14947134,"LIGHT POST"
14947269,"FENCE"
14947273,"FENCE"
14947406,"UTILITY POLE WITH TRANSFORMER"
14947487,"HOUSE (DAMAGE TO CORNER OF GARAGE)"
14947487,"CHAIN-LINKED FENCE"
14947510,"NONE"
14947585,"PUSHED IN CRASH BARREL"
14947607,"GUARDRAIL"
14947626,"CHAIN LINK FENCE"
14947681,"LIGHT POLE"
14947688,"BARBED WIRE FENCE"
14947743,"FRONT PASSENGER AND BACK PASSENGER DOOR"
14947802,"PHONE LINE JUNCTION BOX"
14947815,"GUARDRAIL"
14947815,"FENCE"
14947829,"FENCE DAMAGE"
14947831,"ROAD SIGN"
14947852,"BARRIER DAMAGE"
14947862,"CRASH BARRELS"
14947913,"FIRE HYDRANT #7490180"
14947913,"UTILITY POLE  (NO NUMBER ON POLE)"
14947913,"METRO BUS STOP SIGN"
14947929,"DESTROYED BRICK MAILBOX"
14948064,"TRAFFIC LIGHT CONTROL BOX"
14948076,"GUARD POST"
14948076,"LANSCAPE-TREE"
14948115,"FENCE"
14948118,"ROAD SIGN"
14948181,"FENCE, WATER CONTROL UNIT, MAILBOX"
14948278,"LIGHT POLE"
14948278,"SIGN DAMAGED"
14948337,"CONCRETE PILLARS"
14948337,"GUARD RAIL"
14948360,"BARBED WIRE FENCE & POSTS"
14948544,"TREE"
14948558,"GATE ARM POLE"
14948617,"BLACK METAL FENCE AND GRASS"
14948673,"FENCE"
14948673,"FENCE"
14948903,"BUSINESS FLAG/SIGN"
14948918,"PRIVATE ROAD SIGN"
14948918,"DRIVEWAY INDICATOR"
14949024,"NORTH WALL ON NORTHWEST FREEWAY"
14949077,"WATER BARRIER"
14949125,"DAMAGE TO SPEED LIMIT SIGN AND LANDSCAPE"
14949180,"FENCE"
14949199,"BUSHES"
14949318,"SIGNAL LIGHT DAMAGED -DENT AND SCRATCHES"
14949453,"METAL POLES KNOCKED DOWN"
14949483,"FENCE"
14949499,"UTILITY POLE"
14949548,"LEFT TURN SIGN"
14949548,"IRON FENCE"
14949608,"BARBED WIRE FENCE"
14949608,"STOP SIGN"
14949648,"FENCE"
14949829,"FENCE"
14949848,"STREET LIGHT POLE"
14950159,"ROAD SIGN"
14950159,"TWO POLES"
14950179,"FENCE"
14950207,"FENCE"
14950216,"ROAD SIGN"
14950245,"LANDSCAPING"
14950432,"GUIDE WIRES"
14950483,"STREET LIGHT POLE"
14950483,"FIRE HYDRANT"
14950627,"POWER POLE"
14950701,"BRICK MAILBOX"
14950729,"GUARD RAIL"
14950767,"FENCE DAMAGED"
14950866,"MAILBOX"
14950866,"BRICK FENCE COLLUMN"
14950884,"HIGHWAY SIGN"
14950919,"MAILBOX"
14951088,"FENCE"
14951211,"ORANGE/WHITE BARRICADE"
14951213,"DAMAGE TO APARTMENT UNIT. FRONT WALL"
14951213,"DAMAGE TO LIGHT POLE"
14951338,"GUARD RAIL"
14951399,"1 WOODEN POST AND 10 FEET OF METAL WIRE"
14951449,"TRAFFIC LIGHT (WALKING)"
14951565,"SIGNAL POLE"
14951611,"PARKING GUARDRAIL, PORCH AND BUILDING"
14951621,"WOOD UTILITY POLE"
14951661,"HIGHWAY BARRELS"
14951712,"CENTER MEDIAN CONCRETE BARRIER"
14951731,"FIRE HYDRANT-DESTOYED"
14951865,"BUILDING"
14951911,"GUARDRAIL"
14951918,"SPEED LIMIT SIGN"
14951978,"MAIL BOX"
14951981,"TREE, MISSING BARK"
14952003,"50-75 FOOT OF WOODEN PICKET FENCE"
14952005,"ROADWAY SIGN (DO NOT ENTER)"
14952079,"RANCH FENCE"
14952079,"CRASH CUSHION (PLASTIC WATER FILLED)"
14952079,"CONCRETE BARRIER"
14952178,"HOV METAL GATE"
14952184,"MEDIAN WARNING SIGN"
14952186,"TELEPHONE/POWER POLE"
14952186,"LIGHT BULBS"
14952194,"WOODEN FENCE"
14952248,"TX DOT ROAD SIGN POLE"
14952286,"STOP SIGN"
14952356,"CABLE BARRIER"
14952364,"TEXAS BRAGG. VIN 17XFP1826F1051893. FLAT"
14952364,"JOHN DEER TRACTOR MODEL 5075"
14952364,"JOHN DEER TRACTOR MODEL 3032"
14952364,"EAST TEXAS TRAILORS. VIN 58SBU1825FE0025"
14952364,"JOHN DEER TRACTOR MODEL 2032"
14952374,"UTILITY POLE"
14952374,"STOP SIGN"
14952511,"CONCRETE PILLAR TO OFFICE BUILDING"
14952511,"FENCE"
14952546,"BRICK STRUCTURE BROKEN AWAY"
14952557,"METAL CRASH GUARD RAILING"
14952569,"STATE HWY GUARD RAIL"
14952575,"30 FT GUARD RAIL"
14952587,"BAL HARBOUR STREET SIGN"
14952587,"TWO BLACK STREET LIGHT POLES"
14952728,"WEST WALL OF APT# 9 1306 S MADDOX"
14952763,"FENCE"
14952812,"LANDSCAPE LIGHTING"
14952812,"TREE AND BUSH"
14952813,"20FT OF GUARD RAIL"
14952987,"FENCE LINE DAMAGE"
14952989,"BUILDING"
14953023,"ADOPT A HIGHWAY SIGN"
14953084,"JERSEY BARRIER"
14953118,"GUARDRAIL"
14953163,"BUILDING (FRONT DOOR, ALCOHOL, STORAGE F"
14953211,"DIRECTORY SIGN"
14953211,"PALM TREES"
14953217,"LITTLE THICKET RV PARK DRIVEWY"
14953274,"MAILBOX"
14953440,"MEDIAN MADE OUT OF CONCRETE"
14953491,"CEMENT GUARDWALL"
14953516,"CHAIN LINK FENCE"
14953567,"WOODEN PEG DIVIDER"
14953567,"STREET SIGN"
14953569,"WOODEN LIGHT POLE"
14953589,"10 WOODEN POSTS AND 40 FEET OF GUARDRAIL"
14953620,"POWER POLE"
14953646,"WOODEN STREETLIGHT POLE"
14953698,"HOV ZIPPER WALL"
14953716,"GUARD RAIL"
14953791,"RESIDENTIAL STRUCTURE, BACK PATIO AND AP"
14953831,"METAL POLE"
14953851,"FENCE BRACE,POST AND WIRE"
14953881,"SPEED LIMIT SIGN"
14953905,"GUARDRAIL"
14953933,"BUS 380 HWY SIGN"
14953976,"12FT FENCE & 3 POSTS"
14954064,"FENCE"
14954064,"SIGN, ROAD CLOSED TO THRU TRAFFIC"
14954071,"STOP SIGNT"
14954082,"GUARD RAIL"
14954082,"STREET SIGN (NO PARKING)"
14954137,"MAILBOX"
14954137,"4 ROW BARBWIRE FENCE"
14954206,"SPRINKLER SYSTEM CONTROL BOXES"
14954290,"STAINLESS STEEL SHEET METAL"
14954290,"ROAD SIGN"
14954424,"GUARDRAIL DAMAGE"
14954542,"GUARD RAIL DAMAGE"
14954560,"FENCE"
14954669,"GUARDRAIL"
14954692,"TRAFFIC SIGN"
14954692,"FENCE"
14954703,"MAILBOX DAMAGE"
14954801,"FENCE"
14954848,"2014 WABASH TRAILER"
14954848,"30 FT. METAL GUARD RAIL/4 METAL POSTS"
14954848,"TRAFFIC SIGN"
14954928,"STORM WATER PROTECTION FENCE"
14955085,"SHRUBS, FENCING AND ELECTRICAL"
14955170,"TEMPORARY TRAFFIC LIGHTS"
14955294,"USED CAR LOT BUILDING"
14955385,"RIGHT LANE MUST TURN RIGHT"
14955385,"DO NOT ENTER"
14955412,"GUARD RAIL"
14955424,"POWER POLE"
14955432,"MEDIAN CABLE DIVIDERS"
14955511,"MAILBOX"
14955573,"DECORATIVE TRAFFIC LIGHT FIXTU"
14955599,"TRAFFIC CONTROL SIGNAL"
14955634,"LIGHT POLE"
14955634,"WARNING SIGN"
14955668,"CONCRETE WALL"
14955728,"YELLOW LEFT ARROW SIGN"
14955849,"GUARD RAIL"
14955951,"METAL TUBE FENCING"
14955951,"CHAIN LINK FENCE"
14955993,"VARIUS GARDEN ITEMS"
14955993,"WOODEN PRIVACY FENCE"
14955995,"300 FT OF CABLE BARRIER"
14956030,"ELECTRIC POLE"
14956063,"STEEL DOWNSPOUT"
14956173,"CONCRETE MEDIAN"
14956187,"TREES"
14956286,"IN-LINE POLE ASSEMBLY 45'' CLASS 3"
14956455,"50 FT WIRE FENCE AND POST"
14956474,"JERSEY BARRIER"
14956555,"BARBED WIRE FENCE"
14956566,"ROAD SIGN"
14956750,"50 FT. OF SCRATCHES TO RIGHT CONCRETE"
14956769,"FENCE"
14956779,"MAIL BOX"
14956812,"13 - SPACER BLOCKS"
14956812,"4-SQUARE POST SHORT"
14956812,"1- IMPACT HEAD UNIT"
14956812,"5- GUARD RAIL"
14956812,"1-SQUARE POST LONG"
14956812,"9 - DOME TOP POST"
14956925,"GUARD RAIL"
14956966,"AEP POLE"
14957038,"HOUSE"
14957038,"POWER POLE/BOX"
14957066,"MAILBOX POST W/BOXES 3008, 3009, 3013"
14957154,"DART FENCE"
14957302,"CONCRETE BARRIER"
14957370,"BRICK MAIL BOX"
14957387,"CEMENT BRIDGE"
14957396,"RAIL GUARD"
14957569,"BARBED WIRE FENCE"
14957569,"ELECTRICAL POLE"
14957571,"ONE WAY SIGN"
14957848,"FENCE/GATE"
14958126,"APPROX 100 FT IRON FENCE"
14958128,"FIRE HYDRANT"
14958218,"CHANGE MACHINE @ DHALIWAL CAR WASH"
14958673,"CATTLE GATE"
14958751,"CITY CROSSWALK DEVICE"
14958751,"FIRE HYDRANT"
14958766,"TREE"
14959110,"LANDSCAPING"
14959115,"FENCE AND POSTS"
14959409,"FENCE"
14959657,"LANDSCAPING"
14959763,"CHAIN LINK FENCE, WOODEN POSTS, BUSHES"
14959785,"WOOD FENCE, TRAMPOLINE, LADDER"
14959935,"EXIT SIGN"
14959996,"GAS PUMP"
14960039,"BRICK MAILBOX"
14960039,"FENCING"
14960329,"80 FEET OF GUARDRAIL AND POLES"
14960386,"BRICK WALL, APPROX $10000 DAMAG"
14960449,"FENCE"
14960449,"HOUSE/CARPORT"
14960504,"CHAIN LINK FENCE-BENT"
14960561,"HOUSE"
14960791,"UTILITY POLE"
14960793,"PARKING METER #221"
14960998,"FIRE HYDRANT"
14961000,"60 YARDS MEDIAN DIVIDER"
14961069,"ROAD CLOSED SIGN"
14961115,"STRUCK MAILBOX"
14961327,"DAMAGE 3-RAIL WOODEN FENCE"
14961445,"TWO SECTIONS OF CONCRETE WALL"
14962160,"BARBED WIRE FENCE - 3 CEMENT POSTS"
14962222,"POLE FENCE"
14962222,"STOP SIGN"
14962681,"WOODEN POST/50FT BARBED WIRE"
14962681,"GRASS NEXT TO ROADWAY (LANDSCA"
14962687,"CEDAR ELM TREE"
14962687,"BRICK PLANTER"
14962702,"GUARDRAIL"
14962772,"CONCRETE BARRIER"
14962784,"FENCE/POLES"
14962791,"FENCE"
14962861,"UTILITY POLE"
14963005,"REACT 350 (BLACK BARRICADE)"
14963207,"STRUCTURE DAMAGE TO BRICK/WOOD HOME"
14963280,"NONE"
14963293,"ELECTRIC POLE"
14963621,"CHAIN LINK FENCE"
14963621,"LIGHT POLE"
14963621,"AT&T CABLE BOX"
14963735,"CONCRETE BARRIER WALL"
14963978,"UTILITY POLE"
14964081,"GUARDRAIL"
14964458,"RAILROAD CROSSING POLE LIGHT"
14965388,"ARROWBOARD"
14965594,"WALL AND SIDE OF HOME."
14966259,"POLE"
14966547,"CENTER BARRIER (CABLE SYSTEM)"
14966646,"POWER POLE"
14966682,"MINOR GUARDRAIL DAMAGE, 1700 BLOCK NW LO"
14966853,"FIRE HYDRANT"
14966854,"FENCE"
14967166,"CURB IN PARKING LOT/PALM TREE"
14967214,"FENCE"
14967753,"ROAD SIGNS"
14968205,"DAMAGED LIGHT POLE"
14968236,"SIGN"
14968236,"FENCE"
14968546,"WOOD POLE"
14968551,"MAIL BOX"
14969182,"TREE/DRIVEWAY/YARD"
14969275,"FENCE"
14969413,"ELECTRICAL POWER POLE"
14969444,"FENCE FOOTING"
14969444,"TWO METAL FENCE PIPES"
14969602,"NATIONAL DRIVE STREET AND STOP SIGN"
14969614,"LIGHT POLE"
14969617,"YELLOW CURVE SIGN"
14969620,"BRICK WALL"
14969622,"STREET SIGNS"
14969734,"FENCE LINE"
14969867,"DROVE THRU FENCE HIT HOUSE"
14970135,"15 FEET OF GUARD RAIL"
14970147,"8 FEET OF ATTENUATOR"
14970168,"METAL GUARDRAIL"
14970289,"STOP/YIELD SIGNS"
14970906,"GAURDRAIL"
14971828,"ROD IRON FENCE"
14971946,"REAL ESTATE SIGN"
14971946,"FIRE HYDRANT"
14971946,"SPEED LIMIT SIGN"
14972846,"RESIDENCE"
14973144,"UTILITY POLE"
14973257,"METAL FENCE/CAR PORT"
14973257,"CONCRETE WATER FOUNTAIN"
14973295,"HOUSE FENCE AND GAS METER"
14973295,"STOP/STREET SIGN"
14973436,"SECURITY FENCE"
14973436,"POWER POLE"
14973771,"MAILBOX"
14973791,"CABLE BARRIER"
14974104,"50  FT WIRE FENCE"
14974680,"FENCE"
14975106,"CONCRETE WALKWAY"
14975106,"POWER LINE POLE"
14977537,"BUILDING"
14977537,"GAS LINE"
14978992,"ROCK FENSE"
14979050,"POWER POLE"
14979091,"MAIL BOX"
14979091,"MAIL BOX"
14980096,"TREE"
14980324,"SIGN AND POST"
14980671,"TXDOT ROAD SIGN"
14981147,"BURIED CABLE BOX"
14981147,"BLACK FENCE"
14981807,"BARBED WIRE FENCING"
14981969,"SINGLE STOREY STRUCTURE"
14982149,"LIGHT POST"
14982211,"CAR PORT POLE"
14982227,"LIGHT POLE"
14982227,"FENCE"
14982229,"RAILROAD TRACKS"
14982271,"STREETLIGHT POLE #727769"
14982271,"SPRINKLER SYSTEM AND LAWN"
14982272,"LIGHT POLE LINES"
14983640,"CEMENT MAILBOX"
14983640,"STOP SIGN"
14983640,"FENCE"
14984207,"STATE STREET SIGN WITH I45 PLACARD"
14986901,"FENCE"
14986925,"CONCRETE BARRIER"
14987485,"CONCRETE WALL"
14987913,"FENCE"
14988570,"AEP POWER POLE"
14988570,"DUMPSTER"
14988570,"AT&T PHONE CONNECTOR"
14993773,"FIRE HYDRANT"
14994973,"SHERMAN WILLIAM PAINT BUILDING"
14995356,"CHAIN LINKED FENCE"
14995602,"POLE AND SIGN; BROKEN"
14995612,"OUTDOOR SEATING AREA"
14995625,"BRICK FENCING"
14995838,"RAILROAD TRACKS"
14996602,"80 FEET OF 8 1/2 FT. TALL WELDED FENCE"
14996602,"2 POSTAL MAIL BOXES"
14996602,"POSTAL MAIL BOX"
14998402,"CHAIN LINK FENCE"
14998952,"NONE"
14999768,"DECORATIVE STONE"
14999768,"SPRINKLER SYSTEM"
15006079,"FIRE HYDRANT"
15006079,"SIGNAL LIGHT POLE"
15009340,"FREEWAY EXIT & WRONG WAY SIGNS"
15009564,"EXPRESSWAY GUARD RAIL"
15010679,"FIREHYDRANT"
15010679,"STOP SIGN"
15012106,"PROPERTY FENCE"
15012107,"BRICK FENCE"
15012723,"NDOWS, SCHRUBS"
15012723,"BEDROOM WAL; OUTSIDE BRICK, INTERIOR, WI"
15015505,"FENCE"
15016662,"50' OF GALVANIZED GUARDRAIL"
15016960,"2 POST, MBOX, 2 PALMS, 1 TREE"
15020986,"NO TRUCK ROUTE SIGN"
15021046,"POLE BENT"
15021046,"PEDESTRIAN HEAD BROKEN OUT OF"
15021222,"GUARD RAILS"
15022491,"CABLE RETENTION WIRES AND POST"
15024008,"TEX DOT WRONG WAY SIGN"
15024044,"SIGNAL LIGHT"
15024347,"STOP SIGN"
15024629,"DRAINAGE DITCH CULVERT $5,000"
15029228,"FIRE HYDRANT"
15029228,"TELEPHONE BOX"
15029228,"FRENCH DRAIN/LAWN SPRINKLER DAMAGE"
15029304,"FENCE LINE"
15029330,"CROSS WALK SIGN"
15031142,"MAIL BOX"
15031142,"MAIL BOX"
15031142,"LANDSCAPE"
15031142,"SMALL WOODEN BRIDGE"
15031414,"CINDER BLOCK FENCE"
15036885,"RANCH FENCE"
15038649,"APPROX 10 FEET OF GUARDRAIL"
15054625,"HOUSE WALL, 2511 E BRIDGE ST"
15054625,"FURNITURE INSIDE BEDROOM OF 2511 E. BRID"
15054740,"STOP AND SHOPS SOUTH FRONT WALL AND INTE"
15054844,"GRASSY MEDIAN DAMAGED"
15054847,"DAMAGE TO GOLF COURSE"
15077196,"BUILDING"
15077315,"COW"
15092849,"STREET LIGHT POLE"
15095038,"POLE WITH STOP/STREET SIGN"
15101556,"TREE"
15101556,"RESIDENTIAL STRUCTURE"
15101556,"STOP SIGN"
15117883,"WINDSHIELD"
15127516,"STOP LIGHT AND POLE"
15141512,"LIGHT POLE"
15155273,"GRASS"
15204125,"GUARDRAIL"
15204162,"PILLARS AT THE ENTRACE AT WALGREENS"
15204197,"LIGHT POLE"
15204260,"NEIGHBORHOOD WATCH SIGN"
15204260,"FENCING"
15204316,"YELLOW SHARP TURN INDICATION SIGN"
15204316,"LARGE ROCK"
15204318,"DAMAGED DUMPSTER,BRICK WALL AND A/C UNIT"
15204343,"GTE CABLE BOX #P4201,LIGPOLE#4067074"
15204343,"BRICK MAIL BOX"
15252594,"CENTER MEDIAN (HWY 358 WB)"
15276065,"CITY SIGN"
15411378,"UTILITY POLE"
15568624,"LIGHT POLE"
15584488,"TELEPHONE POLE"
15632357,"MAILBOX"
15649310,"GAURD RAIL"
15717685,"GUARDRAIL"
15717690,"TWO TREES"
15717697,"SPEED LIMIT SIGN WITH POLE"
15717700,"CENTER MEDIAN BARRIER"
14942633,"BRIDGE GUARDRAIL"
14943040,"GUARDRAIL"
14943404,"GUARD RAIL"
14943638,"FENCE"
14943638,"SPEED LIMIT SIGN"
14943638,"FIRE HYDRANT"
14944083,"LIGHT POLE"
14944173,"METAL GATE"
14944325,"PUMP/WELL HOUSE"
14944568,"EXTERIOR OF APARTMENT COMPLEX"
14944624,"NONE"
14944819,"LANE DIRECTION SIGN/POST"
14944886,"CHAINLINK FENCE"
14944996,"STREET LIGHT AT 6500 BACHER"
14945683,"DAMAGED ROCK WALL"
14945798,"ABOVE GROUND CABLE BOX"
14945860,"STEEL FLAG POLE"
14945860,"WOOD PLAYHOUSE"
14945860,"BRICK WALL FENCE"
14945860,"WOOD SHED 12X8"
14945860,"ABOVE GROUND POOL"
14945860,"29 FT FENCE"
14946140,"CAR PORT"
14946184,"MARINA VISTA HOA SIGN"
14946188,"DUAL MAILBOXES, BRICK"
14946210,"BOAT TRAILER"
14946348,"STREET SIGN"
14946409,"TRAFFIC LIGHT POLE"
14946542,"CHAINLINK FENCE"
14946546,"LIGHT POLE"
14946554,"BRIDGE RAILING"
14946579,"GAS PUMPS"
14946708,"TWO TREES"
14946779,"HOUSE"
14946799,"DELINEATOR POLES/ CONCRETE WALL"
14946897,"CONCRETE CURB"
14947103,"UTILITY POLE/POWER LINES"
14947120,"LIGHT POLE"
14947120,"FRWY WRONG WAY SIGN"
14947120,"FRWY EXIT SIGN"
14947136,"HOUSE AND FENCE"
14947144,"PARKED TRAILER"
14947449,"JERSEY BARRIER"
14947492,"METAL DOOR"
14947492,"STOP SIGN/STREET SIGN"
14947561,"CHAIN LINK FENCE"
14947561,"WOOD FENCE"
14947561,"CHAIN LINK FENCE"
14947561,"FIRE HYDRANT"
14947592,"GUARDRAIL"
14947593,"300 FT CABLE"
14947593,"6 ALUMINUM POST"
14947656,"LIGHT POLE"
14947686,"APARTMENT BUILDING WALL"
14948014,"LANDSCAPING TREE"
14948072,"ONE WAY SIGN"
14948215,"TWO MAILBOXES"
14948229,"SCUFF/SCRAPES TO CONCRETE BARRIER WALL"
14948229,"SCUFF/SCRAPES TO CONCRETE BARRIER WALL"
14948238,"BROKEN GLASS"
14948245,"SCUFFS/SCRAPES TO CONCRETE BARRER WALL"
14948245,"SCUFFS/SCRAPES TO CONCRETE BARRIER WALL"
14948245,"SCUFFS/SCRAPES TO CONCRETE BARRIER WALL"
14948248,"GUARDRAIL"
14948256,"CONCRETE JERSEY WALL"
14948420,"WROUGHT IRON FENCE/MAIL BOX"
14948541,"65 FT CHAIN LINK FENCE"
14948568,"STREET SIGN"
14948637,"1 CONCRETE LIGHT POLE ABOUT 25 FT HIGH"
14948637,"10X20 FT BUILDING WITH PORCH"
14948637,"3 FT OF CONCRETE CURB"
14948705,"SIGN"
14948794,"MAIL BOX"
14948813,"COUNTY ROAD DIRECTIONAL SIGN"
14948852,"STOP SIGN"
14948852,"STREET SIGN, ARAPAHO/ PRESIDENTIAL"
14948862,"BARBED WIRE FENCE"
14948878,"TELEPHONE POLE"
14948882,"UTILITY POLE"
14949046,"FENCE"
14949088,"LAWN AND TREE"
14949088,"METAL POLE AND CHAIN"
14949146,"TELEPHONE POLE"
14949175,"METAL RAILING"
14949245,"METAL FENCE (W/ TREES)"
14949249,"2 TREES"
14949287,"IRON GATE"
14949361,"TREE"
14949376,"TELEPHONE POLE #435650"
14949485,"CONCREATE MAILBOX"
14949485,"MAILBOX AND POST"
14949488,"STOP SIGN"
14949510,"SPEED LIMIT STREET SIGN"
14949626,"TREE"
14949626,"LIGHT POLE #462780"
14949787,"NO PARKING SIGN"
14949830,"STOP SIGN"
14949896,"RAIL DAMAGE"
14949911,"CRASH BARRELS"
14949978,"CHAIN LINKED FENCE"
14950097,"GUARDRAIL DAMAGE"
14950139,"PEDESTRIAN CROSSING LIGHT"
14950173,"YIELD SIGN HIT"
14950191,"STREET SIGN"
14950241,"STREET SIGN BIKE LANE"
14950301,"DAMAGE TO HOUSE"
14950301,"DAMAGE TO STOP SIGN"
14950352,"GUARD RAIL"
14950410,"METAL POST W/ STOP SIGN/CR SIGN"
14950454,"TREE"
14950457,"CONCRETE WALL"
14950484,"UTILITY POLE"
14950484,"TRASH CANS"
14950546,"CONCRETE WALL"
14950549,"UTILITY POLE"
14950574,"IMPACT BARRELS"
14950609,"GUARD RAIL"
14950620,"WIRE FENCE"
14950720,"RAN INTO FIRE HYDRANT"
14950739,"SCUFFS AND SCRAPES TO CRASH BARRIERS"
14950966,"MAILBOX"
14951050,"CHAIN LINK FENCE"
14951050,"FIRE HYDRANT"
14951050,"STREET SIGN"
14951101,"LANDSCAPE"
14951120,"GUARDRAIL"
14951128,"APPR. 30' OF PRIVACY FENCE"
14951178,"LIGHT POLE #402114"
14951217,"CHAIN LINK FENCE"
14951277,"CROSS WALK  SIGNAL"
14951330,"UTILITY POLE"
14951787,"GUARD RAIL"
14951975,"MAILBOX"
14951975,"STOP/STREET SIGN"
14951975,"STREET LIGHT"
14951975,"LAWN DAMAGE"
14951975,"MEDIUM SIZE TREE"
14951975,"FLOWERS,SHRUBS,BUSHES"
14951975,"SPRINKLER SYSTEM DAMAGE"
14951977,"MAIL BOX"
14952118,"YEILD SIGN"
14952138,"STOP SIGN"
14952140,"FENCE/TREES"
14952308,"CROSSWALK DIGITAL SIGN"
14952875,"LANDSCAPEING"
14952875,"FIRE HYDRANT"
14953473,"DECORATIVE BRICK WALL"
14953663,"ROAD SIGN"
14953665,"YARD AND LANDSCAPING"
14953665,"UTILITY POLE # 6N3W31"
14953665,"CONCRETE BLOCKS LANDSCAPING"
14953864,"BARB-WIRE FENCE"
14954158,"ROAD SIGN"
14954199,"DAMAGE TO FENCE"
14954223,"TREE, SHRUB UPROOTED"
14954225,"LANDSCAPING"
14954256,"STOP SIGN"
14954314,"STOP SIGN"
14954324,"BUILDING"
14954324,"SHRUBBERY(LANDSCAPING)"
14954324,"FLAG POLE"
14954351,"ELECTRIC CABLE BOX"
14954351,"STOP SIGN"
14954390,"GUARD FENCE"
14954416,"AWNING DAMAGED"
14954432,"BARBED WIRE FENCE"
14954432,"CONCRETE CULVERT"
14954438,"BARBED WIRE FENCE"
14954477,"FENCE DAMAGE FACING FRONT"
14954477,"FENCE DAMAGE FACING FRONT"
14954534,"CURVE INDICATOR SIGN"
14954570,"WRONG WAY SIGN"
14954583,"UTILITY POLE 3900800"
14954673,"METAL FENCE"
14954677,"GAURDRAIL"
14954682,"FENCE"
14954757,"FRONT PORCH DAMAGED"
14954757,"STREET SIGN 8TH AND HEARON"
14954780,"STOP SIGN"
14954795,"TELEPHONE BOX 38A"
14954818,"DAMAGED TO PALM TREE"
14954827,"GUARDRAIL CABLE SYSTEM"
14954828,"2FT ROCK WALL"
14954828,"CHAIN LINK FENCE"
14954836,"FIRE HYDRANT"
14954844,"CONCRETE SIDEWALK"
14954894,"GENIE SX  AERIAL BOOM LIFT"
14954958,"STOP SIGN"
14954982,"STREET SIGN"
14955022,"CHAINLINK FENCE"
14955061,"RAILROAD CROSSING SIGN"
14955067,"NO PARKING SIGN"
14955207,"SIGN"
14955251,"TEMPORARY STOP SIGN"
14955702,"YELLOW COLLAPSIBLE BARRIER"
14955853,"GUARD RAIL"
14956061,"RED PIPE ENTRANCE GATE FENCE"
14956111,"STREET SIGN"
14956134,"FRONT WALL OF BUILDING"
14956134,"UNDERGROUND GAS LINE"
14956143,"SIGNAL LIGHT POLE"
14956150,"GAS METER"
14956175,"BICYCLE"
14956213,"STREET STOP SIGNCITY OF HOUSTON"
14956223,"FENCE"
14956260,"BRIDGE GUARD RAIL"
14956264,"HIT FENCE"
14956303,"CABLE SYSTEM"
14956310,"LIGHT POLE"
14956310,"BARB WIRE FENCE"
14956323,"CONCRETE BARRIER"
14956333,"BRICK WALL"
14956360,"CASTLE DENTAL SIGN"
14956360,"TXDOT SIGNAL BOX"
14956522,"MARQUE / LANDSCAPING / PIPE FENCE"
14956524,"TREE"
14956663,"STOP SIGN"
14956672,"TREES, PORCH, DECOR"
14956672,"LANDSCAPING/CINDER BLOCKS, PLANTS"
14956679,"EXIT SIGN TO JONES MALTSBERGER"
14956707,"GUARDRAIL ATTENUATE"
14956730,"BRICK WALL DAMAGED"
14956730,"BRIDGE RAILING DAMAGE"
14956758,"GUARDRAIL"
14956763,"TREE"
14956784,"CONCRETE BARRIER"
14956827,"GUARD RAIL"
14956901,"METAL ENTRY GATE"
14956951,"HORIZONTAL METAL SECURITY POLE (10 LF)"
14956951,"IH-35 HIGHWAY SIGN CLUSTER"
14956951,"LIGHT POLE (WITH CEMENT BASE)"
14956974,"WOODEN ELECTRICAL POLE"
14956981,"FENCE"
14957000,"CABLE BARRIER SYSTEM 837MM"
14957034,"HOUSE"
14957242,"MEDIAN SAFETY CABLE"
14957243,"FENCE"
14957245,"TREE KNOCKED DOWN"
14957255,"FRONT HOUSE WALL AND TREE"
14957255,"CURB"
14957260,"LIGHT POLE (POLE # NOT DISPLAY ON POLE)"
14957283,"FENCE"
14957296,"FENCE AND MAILBOX"
14957394,"ROAD SIGN"
14957400,"LANDSCAPE / MAILBOX / PH# 832-790-2353"
14957417,"PIPE/WIRE FENCE"
14957546,"FENCING"
14957588,"DAMAGE TO FIRE HYDRANT."
